bfo	Basic Formal Ontology CC-BY	The upper level ontology upon which OBO Foundry ontologies are built.								
chebi	Chemical Entities of Biological Interest CC-BY 4.0	A structured classification of molecular entities of biological interest focusing on 'small' chemical compounds.								
doid	Human Disease Ontology CC0 1.0 Universal	An ontology for describing the classification of human diseases organized by etiology.								
go	Gene Ontology CC BY 4.0	An ontology for describing the function of genes and gene products								
obi	Ontology for Biomedical Investigations CC-BY 4.0	An integrated ontology for the description of life-science and clinical investigations								
pato	Phenotype And Trait Ontology CC-BY	An ontology of phenotypic qualities (properties, attributes or characteristics)								
po	Plant Ontology CC-BY 4.0	The Plant Ontology is a structured vocabulary and database resource that links plant anatomy, morphology and growth and development to plant genomics data.								
pr	PRotein Ontology (PRO) CC-BY	An ontological representation of protein-related entities								
xao	Xenopus Anatomy Ontology CC-BY	XAO represents the anatomy and development of the African frogs Xenopus laevis and tropicalis.								
zfa	Zebrafish anatomy and development ontology CC-BY	A structured controlled vocabulary of the anatomy and development of the Zebrafish								
aeo	Anatomical Entity Ontology CC-BY 4.0	AEO is an ontology of anatomical structures that expands CARO, the Common Anatomy Reference Ontology								
agro	Agronomy Ontology CC-BY	Ontology of agronomic practices, agronomic techniques, and agronomic variables used in agronomic experiments								
aism	Ontology for the Anatomy of the Insect SkeletoMuscular system (AISM) CC-BY	The AISM contains terms used in insect biodiversity research for describing structures of the exoskeleton and the skeletomuscular system. It aims to serve as the basic backbone of generalized terms to be expanded with order-specific terminology.								
amphx	The Amphioxus Development and Anatomy Ontology CC-BY	An ontology for the development and anatomy of Amphioxus (Branchiostoma lanceolatum).								
apo	Ascomycete phenotype ontology CC BY 4.0	A structured controlled vocabulary for the phenotypes of Ascomycete fungi								
apollo_sv	Apollo Structured Vocabulary CC-BY 3.0	Defines terms and relations necessary for interoperation between epidemic models and public health application software that interface with these models								
aro	Antibiotic Resistance Ontology CC-BY	Antibiotic resistance genes and mutations								
bco	Biological Collections Ontology CC-0	An ontology to support the interoperability of biodiversity data, including data on museum collections, environmental/metagenomic samples, and ecological surveys.								
bspo	Biological Spatial Ontology CC-BY	An ontology for representing spatial concepts, anatomical axes, gradients, regions, planes, sides, and surfaces								
